x1,x2,x3,class
-0.140119758,0.71573689,0,1
0.450140509,-0.774099001,200,0
0.034433242,0.677435277,400,1
-0.157656009,0.284413347,600,1
-0.285639712,-1.330757692,800,0
0.529501085,-0.812718121,0,0
-0.049264104,0.839039895,200,1
-1.115296743,0.281321131,400,0
0.286620814,-0.248214103,600,1
-0.271863131,-0.44373691,800,1
-0.039065869,-0.46648153,0,1
1.345634892,-0.282887982,200,0
0.487217002,0.026747531,400,1
-0.742040566,0.721081557,600,0
0.443130912,-0.677069975,800,0
-1.278214424,0.045555347,0,0
1.197081889,0.549301967,200,0
0.461559779,0.443387809,400,1
-0.337181273,0.186493881,600,1
0.582139414,0.694784034,800,0
-0.00556176,0.725093528,0,0
-0.445876014,-1.303537309,200,0
-0.030169512,-0.74488493,400,1
0.958460871,0.469659006,600,0
-0.514809091,-0.82966845,800,0
0.355678535,0.509883013,0,0
0.555170009,-0.016365827,200,1
-0.753410178,-0.449778915,400,0
0.295064541,-0.314883382,600,1
0.091193229,0.72707666,800,1
0.960068255,-0.176371613,0,0
-0.257021747,-0.06309767,200,1
-0.417844263,0.212266762,400,1
-1.199726895,0.530462267,600,0
-0.571625719,0.717704646,800,0
-0.760438827,-0.614939612,0,0
-0.593953719,-0.59353513,200,0
0.178769089,0.325418022,400,1
-1.397595721,-0.297637818,600,0
-0.378076267,-0.115282322,800,1
-0.383221439,0.03388137,0,1
-0.541082846,0.013271759,200,1
-0.096180465,0.465312146,400,1
1.339875745,0.16612499,600,0
-1.111439627,0.053544489,800,0
-0.549049486,0.284123063,0,1
-0.537660701,-0.303983412,200,1
0.455446894,0.031772786,400,1
0.543488727,0.605338984,600,0
-0.220518859,0.763945804,800,1
0.814661801,0.080369053,0,0
0.23266812,-0.166527393,200,1
0.70283083,-0.273657219,400,1
0.469647627,0.456043783,600,1
0.702639493,-0.044245091,800,1
0.520357813,-0.870648159,0,0
-1.038370905,0.694504704,200,0
0.301702467,0.205255864,400,1
-0.223010799,0.105036967,600,1
0.177824041,0.431173874,800,1
0.559510739,0.172077651,0,1
0.7980154,0.519558142,200,1
-0.498362414,-1.088213952,400,0
0.618485407,0.188738142,600,1
0.199236812,-0.777600125,800,0
-0.368284832,-0.650941553,0,1
-0.029717889,1.0035356,200,0
0.204584549,0.219009941,400,1
-0.737072425,-0.574501092,600,0
-0.500190494,-0.355451395,800,1
0.067677005,-0.333498092,0,1
0.628728223,0.842404084,200,0
-0.047739642,-1.074123886,400,0
0.625913265,-0.501349201,600,0
-0.17255078,1.314876185,800,0
-0.074230449,-0.972201517,0,0
0.411153545,0.200721433,200,1
0.905708829,0.167596357,400,0
-1.021452355,-0.587811543,600,0
0.213903063,1.103487049,800,0
0.474450876,0.574849689,0,1
-0.753723581,0.242018497,200,0
0.115762904,-0.536590958,400,1
-0.427399063,-0.902966286,600,0
0.131908449,0.840985115,800,0
0.016754901,0.76687477,0,1
0.39401534,0.122236443,200,1
-0.589332643,-0.902409128,400,1
0.087111704,0.436847186,600,1
0.485157625,-0.425402147,800,1
-0.134412955,-0.648389031,0,1
0.703865597,0.661205285,200,0
0.758558216,0.471910089,400,0
-0.628086637,-0.574176977,600,0
0.579017084,-0.034668063,800,1
0.071764904,0.226278104,0,1
-0.341249008,1.02717837,200,0
0.489342105,-0.485901836,400,1
-0.37818042,-0.602271609,600,1
0.426431578,-1.00408894,800,0
-0.269097835,-0.888602893,0,1
-0.001931256,0.993309854,200,0
-1.39214325,-0.115300194,400,0
0.414671772,-0.104478227,600,1
0.783182453,-0.106013734,800,0
-0.276945245,0.675581507,0,1
-0.026302753,-0.531566493,200,1
0.223327826,-1.37480985,400,0
-0.564300635,-0.683067954,600,0
